"","ID","Group_type","Datetime","sampperiod","age","group"
"983","543","B",2005-08-30 15:10:00,1,30,690
"984","864","LB",2005-09-01 10:26:00,1,40,691
"985","860","LB",2005-09-03 17:05:00,1,30,692
"988","170","B",2005-09-05 10:35:00,1,40,694
"989","377","B",2005-09-05 10:35:00,1,20,694
"990","448","B",2005-09-05 10:35:00,1,30,694
"991","543","B",2005-09-05 10:35:00,1,30,694
"994","373","B",2005-09-07 13:30:00,1,20,697
"995","375","B",2005-09-07 13:30:00,1,20,697
"998","170","B",2005-09-17 11:10:00,1,40,699
"999","199","B",2005-09-17 11:10:00,1,20,699
"1000","685","B",2005-09-17 11:10:00,1,30,699
"1001","949","B",2005-09-17 11:10:00,1,20,699
"1002","86","B",2005-09-18 16:44:00,1,20,700
"1003","727","B",2005-09-18 16:44:00,1,40,700
"1004","910","B",2005-09-18 16:44:00,1,30,700
"1008","514","B",2005-09-24 13:28:00,1,20,703
"1009","802","B",2005-09-24 13:28:00,1,23,703
"1010","871","B",2005-09-27 16:35:00,1,20,704
"1011","170","B",2005-09-27 17:30:00,1,40,705
"1012","543","B",2005-09-27 17:30:00,1,30,705
"1013","170","B",2005-09-28 12:15:00,1,40,706
"1014","543","B",2005-09-28 12:15:00,1,30,706
"1015","76","LB",2005-09-28 16:10:00,1,40,707
"1018","409","B",2005-09-29 14:45:00,1,30,709
"1019","170","B",2005-10-02 08:01:00,1,40,710
"1020","448","B",2005-10-02 08:01:00,1,30,710
"1021","685","B",2005-10-02 08:05:00,1,30,711
"1026","283","B",2005-10-08 08:58:00,1,56,716
"1027","596","B",2005-10-08 08:58:00,1,20,716
"1031","166","B",2005-10-10 17:00:00,1,20,719
"1032","170","B",2005-10-10 17:00:00,1,40,719
"1033","216","B",2005-10-10 17:00:00,1,20,719
"1034","941","B",2005-10-10 17:00:00,1,49,719
"1035","17","B",2005-10-11 16:50:00,1,20,720
"1036","115","B",2005-10-11 16:50:00,1,44,720
"1037","453","B",2005-10-11 16:50:00,1,20,720
"1040","116","B",2005-10-15 13:10:00,1,30,722
"1041","727","B",2005-10-15 13:10:00,1,40,722
"1043","373","LB",2005-10-18 13:50:00,1,20,724
"1044","166","B",2005-10-18 16:45:00,1,20,725
"1045","170","B",2005-10-18 16:45:00,1,40,725
"1048","543","LB",2005-10-19 11:45:00,1,30,727
"1049","647","B",2005-10-19 13:20:00,1,30,728
"1050","662","B",2005-10-19 13:20:00,1,20,728
"1051","719","B",2005-10-19 13:20:00,1,20,728
"1052","574","B",2005-10-19 13:47:00,1,30,729
"1053","596","B",2005-10-19 13:47:00,1,20,729
"1054","759","B",2005-10-19 13:47:00,1,30,729
"1055","776","LB",2005-10-20 07:45:00,1,30,730
"1058","505","LB",2005-10-21 10:34:00,1,40,733
"1059","20","LB",2005-10-24 08:45:00,1,30,734
"1060","333","B",2005-10-24 16:40:00,1,30,735
"1061","170","LB",2005-10-28 08:32:00,1,40,736
"1063","86","B",2005-10-31 12:34:00,1,20,738
"1064","166","B",2005-10-31 12:34:00,1,20,738
"1065","640","B",2005-10-31 12:34:00,1,30,738
"1066","86","B",2005-11-05 12:54:00,1,20,739
"1067","166","B",2005-11-05 12:54:00,1,20,739
"1068","448","B",2005-11-05 12:54:00,1,30,739
"1069","459","B",2005-11-05 12:54:00,1,40,739
"1070","640","B",2005-11-05 12:54:00,1,30,739
"1071","543","LB",2005-11-15 08:00:00,1,30,740
"1072","422","LB",2005-11-15 12:01:00,1,40,741
"1073","543","LB",2005-11-15 12:01:00,1,30,742
"1074","845","B",2005-11-20 11:25:00,1,30,743
"1075","170","B",2005-11-20 17:15:00,1,40,744
"1076","814","B",2005-11-20 17:15:00,1,40,744
"1078","279","LB",2005-11-22 09:15:00,1,40,746
"1082","279","B",2005-12-08 16:43:00,1,40,749
"1083","166","B",2005-12-09 18:13:00,1,20,750
"1084","762","B",2005-12-09 18:13:00,1,20,750
"1085","839","B",2005-12-10 09:45:00,1,57,751
"1086","115","LB",2005-12-10 12:01:00,1,44,752
"1091","762","B",2005-12-12 15:35:00,1,20,756
"1092","871","B",2005-12-12 15:35:00,1,20,756
"1095","685","B",2005-12-12 17:15:00,1,30,759
"1096","640","LB",2005-12-13 09:45:00,1,30,760
"1097","640","LB",2005-12-13 18:29:00,1,30,761
"1098","419","LB",2005-12-15 15:15:00,1,20,762
"1100","193","B",2005-12-17 08:50:00,1,20,764
"1101","918","B",2005-12-17 08:50:00,1,20,764
"1102","706","LB",2005-12-17 09:01:00,1,30,765
"1103","543","LB",2005-12-17 11:42:00,1,30,766
"1105","480","LB",2005-12-22 11:06:00,1,40,768
"1106","255","B",2005-12-23 10:40:00,1,28,769
"1107","305","B",2005-12-23 10:40:00,1,20,769
"1108","104","LB",2005-12-23 10:55:00,1,40,770
"1109","68","LB",2005-12-23 16:40:00,1,30,771
"1110","918","B",2005-12-23 17:51:00,1,20,772
"1111","30","B",2005-12-24 14:42:00,1,20,773
"1112","170","B",2005-12-24 14:42:00,1,40,773
"1113","480","LB",2005-12-24 15:49:00,1,40,774
"1114","30","B",2005-12-25 15:17:00,1,20,775
"1115","170","B",2005-12-25 15:17:00,1,40,775
"1116","263","LB",2005-12-25 16:36:00,1,44,776
"1127","839","LB",2005-12-27 06:42:00,1,57,778
"1128","689","LB",2005-12-27 09:15:00,1,40,779
"1135","419","B",2005-12-28 12:30:00,1,20,783
"1136","871","B",2005-12-28 12:30:00,1,20,783
"1140","279","B",2005-12-29 20:00:00,1,40,785
"1142","456","LB",2005-12-30 15:50:00,1,40,787
"1144","263","B",2005-12-31 06:54:00,1,44,789
"1145","279","B",2005-12-31 06:54:00,1,40,789
"1146","640","B",2005-12-31 17:30:00,1,30,790
"1147","789","B",2005-12-31 17:30:00,1,20,790
"1148","918","LB",2005-12-31 17:32:00,1,20,791
"1149","68","B",2005-12-31 18:09:00,1,30,792
"1150","166","B",2005-12-31 18:09:00,1,20,792
"1151","406","LB",2005-12-31 18:35:00,1,40,793
"1152","511","B",2006-01-01 07:30:00,1,30,794
"1153","170","B",2006-01-01 12:45:00,1,40,795
"1156","279","B",2006-01-02 09:21:00,1,40,797
"1157","792","B",2006-01-02 09:21:00,1,30,797
"1158","361","LB",2006-01-03 12:20:00,1,29,798
"1159","170","B",2006-01-03 13:55:00,1,40,799
"1160","263","B",2006-01-03 13:55:00,1,44,799
"1168","143","B",2006-01-04 17:45:00,1,30,803
"1174","140","B",2006-01-05 09:56:00,1,20,805
"1175","298","B",2006-01-05 09:56:00,1,40,805
"1176","459","B",2006-01-05 11:13:00,1,40,806
"1177","839","LB",2006-01-05 11:45:00,1,57,807
"1179","422","LB",2006-01-06 07:36:00,1,40,809
"1181","839","LB",2006-01-06 11:45:00,1,57,811
"1182","422","LB",2006-01-06 15:03:00,1,40,812
"1184","170","LB",2006-01-07 08:09:00,1,40,814
"1185","910","LB",2006-01-07 11:30:00,1,30,815
"1188","796","LB",2006-01-08 10:10:00,1,30,817
"1195","170","B",2006-01-10 12:12:00,1,40,820
"1196","263","B",2006-01-10 12:12:00,1,44,820
"1197","279","B",2006-01-10 12:12:00,1,40,820
"1198","170","B",2006-01-11 18:10:00,1,40,821
"1199","263","B",2006-01-11 18:10:00,1,44,821
"1200","279","B",2006-01-11 18:10:00,1,40,821
"1202","759","LB",2006-01-12 08:24:00,1,30,823
"1203","104","LB",2006-01-12 12:01:00,1,40,824
"1204","170","B",2006-01-12 16:10:00,1,40,825
"1205","263","B",2006-01-12 16:10:00,1,44,825
"1209","586","LB",2006-01-13 18:35:00,1,36,829
"1211","279","B",2006-01-15 06:15:00,1,40,831
"1212","218","B",2006-01-15 07:40:00,1,40,832
"1213","170","B",2006-01-15 10:14:00,1,40,833
"1214","263","B",2006-01-15 10:14:00,1,44,833
"1217","335","LB",2006-01-17 12:01:00,1,40,836
"1220","170","B",2006-01-18 12:01:00,1,40,839
"1221","263","B",2006-01-18 12:01:00,1,44,839
"1222","335","LB",2006-01-19 08:00:00,1,40,840
"1224","218","B",2006-01-19 17:02:00,1,40,842
"1225","335","LB",2006-01-21 07:30:00,1,40,843
"1227","712","B",2006-01-24 12:01:00,1,30,845
"1228","728","LB",2006-01-26 18:41:00,1,20,846
"1230","464","LB",2006-01-28 06:10:00,1,20,848
"1231","719","B",2006-01-30 12:00:00,1,20,849
"1232","871","B",2006-01-30 12:00:00,1,20,849
"1233","545","LB",2006-01-31 17:30:00,1,20,850
"1234","24","LB",2006-01-31 17:51:00,1,30,851
"1235","666","B",2006-02-06 09:00:00,1,30,852
"1237","586","LB",2006-02-14 17:12:00,1,36,854
"1239","758","LB",2006-02-16 17:50:00,1,20,856
"1240","170","B",2006-02-18 12:01:00,1,40,857
"1241","263","B",2006-02-18 12:01:00,1,44,857
"1244","504","LB",2006-02-21 07:21:00,1,20,860
"1248","647","LB",2006-02-25 08:36:00,1,30,864
"1250","218","LB",2006-02-25 12:30:00,1,40,866
"1251","814","LB",2006-02-25 16:28:00,1,40,867
"1252","349","B",2006-02-25 18:00:00,1,40,868
"1269","239","LB",2006-03-07 17:54:00,1,30,878
"1281","239","LB",2006-03-11 11:31:00,1,30,883
"1283","874","LB",2006-03-19 11:34:00,1,30,885
"1286","477","LB",2006-03-20 12:01:00,1,30,888
"1291","712","LB",2006-03-23 11:50:00,1,30,891
"1292","115","B",2006-03-24 12:00:00,1,44,892
"1293","125","B",2006-03-24 12:00:00,1,20,892
"1294","149","LB",2006-03-24 17:15:00,1,30,893
"1299","115","B",2006-03-27 12:10:00,1,44,897
"1300","125","B",2006-03-27 12:10:00,1,20,897
"1301","157","LB",2006-03-28 06:00:00,1,45,898
"1302","706","LB",2006-03-28 07:45:00,1,30,899
"1303","477","LB",2006-03-31 12:01:00,1,30,900
"1306","279","LB",2006-04-05 09:06:00,1,40,902
"1311","406","B",2006-04-15 11:55:00,1,40,904
"1312","905","B",2006-04-15 11:55:00,1,20,904
"1313","802","LB",2006-04-15 12:30:00,1,23,905
"1314","220","LB",2006-04-15 12:45:00,1,30,906
"1315","27","LB",2006-04-15 13:43:00,1,30,907
"1316","543","LB",2006-04-17 12:37:00,1,30,908
"1319","609","LB",2006-04-28 12:50:00,1,20,911
"1328","337","B",2006-05-02 09:50:00,1,30,915
"1329","571","B",2006-05-02 09:50:00,1,20,915
"1330","776","B",2006-05-02 09:50:00,1,30,915
"1332","115","B",2006-05-03 11:22:00,1,44,917
"1333","125","B",2006-05-03 11:22:00,1,20,917
"1334","606","LB",2006-05-06 10:00:00,1,30,918
"1337","70","B",2006-05-09 07:21:00,1,20,920
"1339","732","B",2006-05-09 07:21:00,1,30,920
"1348","407","LB",2006-05-15 12:01:00,1,30,924
"1349","702","B",2006-05-16 09:00:00,1,30,925
"1354","366","B",2006-05-19 08:50:00,1,20,928
"1357","64","LB",2006-05-25 13:10:00,1,20,930
"1359","802","B",2006-06-01 09:10:00,1,23,932
"1360","130","B",2006-06-01 10:45:00,1,30,933
"1361","140","B",2006-06-01 10:45:00,1,20,933
"1362","418","B",2006-06-01 10:45:00,1,20,933
"1366","90","B",2006-06-05 12:47:00,1,20,937
"1371","864","LB",2006-06-13 10:15:00,1,40,941
"1372","170","B",2006-06-15 10:39:00,1,40,942
"1373","418","B",2006-06-15 10:39:00,1,20,942
"1374","170","B",2006-06-16 08:00:00,1,40,943
"1376","366","LB",2006-06-18 10:37:00,1,20,945
"1377","864","LB",2006-06-19 10:15:00,1,40,946
"1378","802","B",2006-06-19 18:00:00,1,23,947
"1379","923","B",2006-06-23 16:41:00,1,20,948
"1384","218","LB",2006-07-02 12:01:00,1,40,951
"1385","199","B",2006-07-02 12:01:00,1,20,952
"1386","45","B",2006-07-02 15:09:00,1,20,953
"1390","864","LB",2006-07-03 12:01:00,1,40,955
"1391","170","LB",2006-07-05 11:15:00,1,40,956
"1394","67","B",2006-07-12 09:00:00,1,20,959
"1395","75","B",2006-07-12 09:00:00,1,40,959
"1396","115","B",2006-07-12 09:00:00,1,44,959
"1397","333","B",2006-07-12 09:00:00,1,30,959
"1398","416","B",2006-07-12 09:00:00,1,40,959
"1399","748","B",2006-07-12 16:34:00,1,30,960
"1400","333","LB",2006-07-14 12:44:00,1,30,961
"1401","67","B",2006-07-14 14:30:00,1,20,962
"1402","75","B",2006-07-14 14:30:00,1,40,962
"1403","115","B",2006-07-14 14:30:00,1,44,962
"1404","416","B",2006-07-14 14:30:00,1,40,962
"1405","14","B",2006-07-19 15:06:00,1,20,963
"1406","422","B",2006-07-19 15:06:00,1,40,963
"1407","910","B",2006-07-19 15:06:00,1,30,963
"1411","115","B",2006-07-24 14:30:00,1,44,965
"1412","596","B",2006-07-24 14:30:00,1,20,965
"1413","514","B",2006-07-26 08:59:00,1,20,966
"1414","871","B",2006-07-26 08:59:00,1,20,966
"1415","67","B",2006-07-28 08:30:00,1,20,967
"1416","590","B",2006-07-28 08:30:00,1,20,967
"1419","590","B",2006-08-06 12:45:00,1,20,969
"1423","590","LB",2006-08-11 16:38:00,1,20,973
"1425","685","LB",2006-08-17 10:15:00,1,30,975
"1426","604","LB",2006-08-17 17:12:00,1,40,976
"1428","170","LB",2006-09-03 10:21:00,1,40,978
"1429","144","LB",2006-09-04 13:09:00,1,30,979
"1430","83","B",2006-09-09 10:43:00,1,20,980
"1431","197","B",2006-09-09 10:43:00,1,30,980
"1435","506","B",2006-09-11 12:35:00,1,30,984
"1436","317","B",2006-09-11 17:39:00,1,30,985
"1437","337","B",2006-09-11 17:39:00,1,30,985
"1438","910","B",2006-09-11 17:39:00,1,30,985
"1439","820","B",2006-09-17 13:42:00,1,32,986
"1441","361","LB",2006-09-21 09:26:00,1,29,988
"1442","727","LB",2006-09-21 13:45:00,1,40,989
"1443","902","LB",2006-09-22 15:05:00,1,30,990
"1445","505","B",2006-09-26 12:01:00,1,40,992
"1446","143","LB",2006-09-27 12:35:00,1,30,993
"1447","283","LB",2006-09-27 14:15:00,1,56,994
"1449","647","B",2006-09-30 11:08:00,1,30,996
"1451","36","B",2006-09-30 13:20:00,1,20,998
"1452","670","B",2006-09-30 13:20:00,1,20,998
"1453","931","B",2006-09-30 13:20:00,1,20,998
"1456","36","B",2006-10-02 08:43:00,1,20,1001
"1457","406","B",2006-10-02 08:43:00,1,40,1001
"1458","75","B",2006-10-02 09:25:00,1,40,1002
"1459","319","B",2006-10-02 09:25:00,1,57,1002
"1460","670","B",2006-10-02 09:25:00,1,20,1002
"1461","749","B",2006-10-02 09:25:00,1,20,1002
"1462","931","B",2006-10-02 09:25:00,1,20,1002
"1463","543","LB",2006-10-05 16:44:00,1,30,1003
"1470","118","LB",2006-10-08 09:20:00,1,20,1005
"1471","116","B",2006-10-14 12:01:00,1,30,1006
"1472","874","B",2006-10-14 12:01:00,1,30,1006
"1473","25","LB",2006-10-15 11:45:00,1,30,1007
"1475","25","B",2006-10-18 16:40:00,1,30,1009
"1476","796","B",2006-10-18 16:40:00,1,30,1009
"1477","514","LB",2006-10-20 09:45:00,1,20,1010
"1478","117","B",2006-10-20 11:00:00,1,20,1011
"1479","418","B",2006-10-20 11:00:00,1,20,1011
"1480","845","B",2006-10-20 11:20:00,1,30,1012
"1481","924","B",2006-10-20 11:20:00,1,30,1012
"1485","471","LB",2006-10-21 15:32:00,1,30,1014
"1488","218","LB",2006-10-23 06:49:00,1,40,1016
"1489","349","B",2006-10-23 08:20:00,1,40,1017
"1490","406","B",2006-10-23 08:20:00,1,40,1017
"1491","349","LB",2006-10-24 11:00:00,1,40,1018
"1492","719","LB",2006-10-25 15:40:00,1,20,1019
"1493","406","LB",2006-10-25 16:15:00,1,40,1020
"1494","20","LB",2006-10-28 12:01:00,1,30,1021
"1495","116","B",2006-10-28 12:01:00,1,30,1022
"1496","125","B",2006-10-28 12:01:00,1,20,1022
"1497","874","B",2006-10-28 12:01:00,1,30,1022
"1498","115","LB",2006-10-29 12:01:00,1,44,1023
"1499","287","LB",2006-10-29 12:01:00,1,30,1023
"1503","918","B",2006-10-30 08:45:00,1,20,1025
"1506","67","LB",2006-10-30 17:35:00,1,20,1028
"1507","319","LB",2006-10-31 07:35:00,1,57,1029
"1509","406","B",2006-11-01 17:30:00,2,44,1031
"1510","753","B",2006-11-01 17:30:00,2,24,1031
"1511","406","B",2006-11-02 11:33:00,2,44,1032
"1512","753","B",2006-11-02 11:33:00,2,24,1032
"1513","719","B",2006-11-03 10:42:00,2,24,1033
"1518","864","B",2006-11-04 10:05:00,2,44,1035
"1519","871","LB",2006-11-07 10:40:00,2,24,1036
"1520","514","B",2006-11-07 17:55:00,2,24,1037
"1521","279","B",2006-11-08 13:50:00,2,44,1038
"1522","394","B",2006-11-08 13:50:00,2,34,1038
"1523","516","B",2006-11-08 13:50:00,2,24,1038
"1524","349","B",2006-11-10 06:32:00,2,44,1039
"1525","406","B",2006-11-10 06:32:00,2,44,1039
"1526","419","B",2006-11-10 06:32:00,2,24,1039
"1527","529","B",2006-11-10 06:32:00,2,24,1039
"1528","670","B",2006-11-10 06:32:00,2,24,1039
"1529","834","B",2006-11-10 06:32:00,2,24,1039
"1530","75","B",2006-11-14 15:40:00,2,44,1040
"1531","941","B",2006-11-14 15:40:00,2,53,1040
"1532","335","B",2006-11-14 16:45:00,2,44,1041
"1533","143","B",2006-11-15 05:14:00,2,34,1042
"1534","685","LB",2006-11-15 06:20:00,2,34,1043
"1535","924","LB",2006-11-15 08:00:00,2,34,1044
"1538","218","B",2006-11-17 10:40:00,2,44,1046
"1539","862","B",2006-11-17 10:40:00,2,24,1046
"1540","652","LB",2006-11-22 08:20:00,2,24,1047
"1541","47","B",2006-11-26 15:08:00,2,34,1048
"1542","187","B",2006-11-26 15:08:00,2,34,1048
"1543","662","B",2006-11-26 15:08:00,2,24,1048
"1545","924","B",2006-11-26 15:08:00,2,34,1048
"1546","122","B",2006-11-26 17:47:00,2,34,1049
"1547","673","B",2006-11-26 17:47:00,2,24,1049
"1548","317","B",2006-11-30 12:01:00,2,34,1050
"1549","423","B",2006-11-30 12:01:00,2,34,1050
"1550","166","B",2006-12-03 09:10:00,2,24,1051
"1551","406","B",2006-12-03 09:10:00,2,44,1051
"1552","419","B",2006-12-03 09:10:00,2,24,1051
"1553","759","B",2006-12-03 09:10:00,2,34,1051
"1554","796","B",2006-12-03 09:10:00,2,34,1051
"1555","11","B",2006-12-05 08:26:00,2,24,1052
"1557","349","B",2006-12-05 08:26:00,2,44,1052
"1558","845","B",2006-12-05 08:26:00,2,34,1052
"1559","30","B",2006-12-05 11:20:00,2,24,1053
"1560","685","B",2006-12-05 11:20:00,2,34,1053
"1561","86","B",2006-12-05 18:13:00,2,24,1054
"1562","170","B",2006-12-05 18:13:00,2,44,1054
"1563","710","B",2006-12-05 18:13:00,2,34,1054
"1564","591","LB",2006-12-06 07:41:00,2,24,1055
"1565","918","LB",2006-12-07 10:30:00,2,24,1056
"1566","618","B",2006-12-07 12:00:00,2,24,1057
"1573","362","LB",2006-12-10 15:16:00,2,24,1060
"1574","796","LB",2006-12-11 12:01:00,2,34,1061
"1575","218","LB",2006-12-13 09:15:00,2,44,1062
"1580","170","B",2006-12-23 13:39:00,2,44,1067
"1582","375","B",2006-12-25 11:00:00,2,24,1069
"1583","375","B",2006-12-25 14:00:00,2,24,1070
"1584","918","B",2006-12-25 14:00:00,2,24,1070
"1587","323","LB",2006-12-28 17:05:00,2,34,1073
"1591","839","LB",2007-01-06 16:09:00,2,61,1077
"1593","281","LB",2007-01-07 16:38:00,2,24,1079
"1595","137","B",2007-01-12 12:55:00,2,49,1081
"1596","864","B",2007-01-12 12:55:00,2,44,1081
"1597","924","B",2007-01-12 12:55:00,2,34,1081
"1598","456","B",2007-01-12 15:22:00,2,44,1082
"1600","685","B",2007-01-14 11:42:00,2,34,1084
"1601","910","B",2007-01-14 11:42:00,2,34,1084
"1602","438","B",2007-01-15 10:40:00,2,34,1085
"1603","685","B",2007-01-15 10:40:00,2,34,1085
"1604","298","B",2007-01-15 12:05:00,2,44,1086
"1605","349","B",2007-01-15 12:05:00,2,44,1086
"1606","630","B",2007-01-15 12:05:00,2,34,1086
"1607","698","B",2007-01-15 12:05:00,2,24,1086
"1610","394","B",2007-01-16 12:01:00,2,34,1089
"1611","285","LB",2007-01-19 18:55:00,2,44,1090
"1612","503","B",2007-01-20 17:25:00,2,24,1091
"1615","631","LB",2007-01-24 18:00:00,2,34,1094
"1616","939","LB",2007-01-27 10:36:00,2,34,1095
"1619","871","LB",2007-01-28 13:26:00,2,24,1098
"1623","83","B",2007-01-31 12:01:00,2,24,1100
"1625","545","B",2007-01-31 17:30:00,2,24,1101
"1627","164","B",2007-02-03 17:12:00,2,34,1103
"1628","218","LB",2007-02-05 11:35:00,2,44,1104
"1629","170","B",2007-02-05 13:30:00,2,44,1105
"1630","459","B",2007-02-05 13:30:00,2,44,1105
"1633","685","LB",2007-02-08 16:00:00,2,34,1107
"1634","719","LB",2007-02-09 07:30:00,2,24,1108
"1637","298","B",2007-02-11 11:31:00,2,44,1111
"1638","824","B",2007-02-11 11:31:00,2,44,1111
"1639","298","B",2007-02-13 09:15:00,2,44,1112
"1640","824","B",2007-02-13 09:15:00,2,44,1112
"1641","47","LB",2007-02-13 11:00:00,2,34,1113
"1642","170","LB",2007-02-14 09:50:00,2,44,1114
"1643","924","LB",2007-02-14 15:00:00,2,34,1115
"1644","184","LB",2007-02-15 09:00:00,2,24,1116
"1646","864","LB",2007-02-20 09:00:00,2,44,1118
"1647","118","B",2007-02-20 09:30:00,2,24,1119
"1648","879","LB",2007-02-20 12:01:00,2,29,1120
"1651","170","B",2007-02-23 12:47:00,2,44,1122
"1653","47","LB",2007-02-25 10:55:00,2,34,1123
"1654","785","LB",2007-02-26 11:30:00,2,34,1124
"1655","423","B",2007-02-26 15:03:00,2,34,1125
"1657","170","LB",2007-02-27 09:40:00,2,44,1126
"1660","166","B",2007-02-28 14:20:00,2,24,1129
"1662","759","LB",2007-02-28 15:30:00,2,34,1130
"1666","731","B",2007-03-14 11:20:00,2,24,1134
"1667","924","B",2007-03-14 11:20:00,2,34,1134
"1668","362","B",2007-03-14 17:19:00,2,24,1135
"1669","796","LB",2007-03-15 12:01:00,2,34,1136
"1670","349","B",2007-03-17 10:00:00,2,44,1137
"1672","143","LB",2007-03-23 09:10:00,2,34,1139
"1675","924","B",2007-03-23 11:00:00,2,34,1140
"1678","665","B",2007-03-28 16:58:00,2,24,1143
"1680","349","LB",2007-03-31 14:10:00,2,44,1145
"1682","143","B",2007-04-05 16:30:00,2,34,1147
"1683","708","B",2007-04-05 16:30:00,2,24,1147
"1684","236","LB",2007-04-05 17:08:00,2,24,1148
"1686","406","B",2007-04-06 13:20:00,2,44,1150
"1687","924","B",2007-04-06 13:20:00,2,34,1150
"1688","274","B",2007-04-06 14:45:00,2,24,1151
"1696","796","LB",2007-04-11 12:01:00,2,34,1155
"1699","864","B",2007-04-11 14:08:00,2,44,1157
"1700","220","LB",2007-04-12 09:30:00,2,34,1158
"1701","543","LB",2007-04-12 13:15:00,2,34,1159
"1702","220","LB",2007-04-14 10:49:00,2,34,1160
"1705","418","LB",2007-04-15 16:45:00,2,24,1163
"1706","366","LB",2007-04-16 12:00:00,2,24,1164
"1707","918","B",2007-04-18 06:41:00,2,24,1165
"1708","941","B",2007-04-18 06:41:00,2,53,1165
"1709","941","B",2007-04-18 09:41:00,2,53,1166
"1711","543","LB",2007-04-21 13:15:00,2,34,1168
"1714","98","B",2007-04-25 15:47:00,2,24,1171
"1715","279","LB",2007-04-26 13:15:00,2,44,1172
"1716","845","B",2007-04-28 14:54:00,2,34,1173
"1717","910","B",2007-04-28 14:54:00,2,34,1173
"1718","781","B",2007-04-28 14:59:00,2,24,1174
"1720","75","B",2007-04-28 17:06:00,2,44,1176
"1721","216","B",2007-04-28 17:06:00,2,24,1176
"1722","422","LB",2007-04-28 17:25:00,2,44,1177
"1724","143","LB",2007-04-30 10:45:00,2,34,1179
"1725","406","LB",2007-04-30 12:01:00,2,44,1180
"1731","418","LB",2007-05-08 14:05:00,2,24,1186
"1732","349","B",2007-05-08 14:30:00,2,44,1187
"1733","719","B",2007-05-08 14:30:00,2,24,1187
"1734","941","B",2007-05-08 14:30:00,2,53,1187
"1735","220","LB",2007-05-09 12:00:00,2,34,1188
"1745","25","LB",2007-05-13 09:37:00,2,34,1194
"1746","75","LB",2007-05-21 07:30:00,2,44,1195
"1747","362","B",2007-05-23 09:30:00,2,24,1196
"1748","845","B",2007-05-23 09:30:00,2,34,1196
"1749","75","B",2007-05-23 10:35:00,2,44,1197
"1750","349","B",2007-05-23 10:35:00,2,44,1197
"1751","731","B",2007-05-23 10:35:00,2,24,1197
"1752","333","B",2007-05-26 10:45:00,2,34,1198
"1753","719","B",2007-05-26 10:45:00,2,24,1198
"1754","397","B",2007-05-26 14:35:00,2,34,1199
"1755","406","B",2007-05-26 14:35:00,2,44,1199
"1756","362","LB",2007-05-30 16:30:00,2,24,1200
"1758","86","B",2007-06-01 11:48:00,2,24,1202
"1759","514","B",2007-06-02 12:25:00,2,24,1203
"1760","543","LB",2007-06-04 16:13:00,2,34,1204
"1762","796","B",2007-06-06 07:45:00,2,34,1205
"1765","514","LB",2007-06-09 10:09:00,2,24,1208
"1766","794","LB",2007-06-09 12:01:00,2,24,1209
"1769","796","B",2007-06-10 10:50:00,2,34,1211
"1770","170","LB",2007-06-10 12:30:00,2,44,1212
"1771","199","B",2007-06-11 16:54:00,2,24,1213
"1772","459","B",2007-06-11 16:54:00,2,44,1213
"1773","170","B",2007-06-14 13:33:00,2,44,1214
"1774","540","B",2007-06-14 13:33:00,2,34,1214
"1775","927","B",2007-06-14 13:33:00,2,34,1214
"1777","807","B",2007-06-15 07:20:00,2,24,1216
"1778","685","B",2007-06-15 10:10:00,2,34,1217
"1779","685","B",2007-06-25 12:20:00,2,34,1218
"1782","143","B",2007-06-29 14:55:00,2,34,1221
"1783","845","B",2007-06-29 14:55:00,2,34,1221
"1784","144","LB",2007-06-29 17:02:00,2,34,1222
"1785","757","LB",2007-06-30 10:12:00,2,24,1223
"1786","170","LB",2007-06-30 15:15:00,2,44,1224
"1787","931","LB",2007-07-01 16:51:00,2,24,1225
"1788","79","LB",2007-07-03 15:00:00,2,34,1226
"1789","170","B",2007-07-09 09:19:00,2,44,1227
"1790","221","B",2007-07-09 14:10:00,2,24,1228
"1791","760","B",2007-07-09 14:10:00,2,24,1228
"1795","871","B",2007-07-14 11:51:00,2,24,1232
"1796","25","B",2007-07-17 11:00:00,2,34,1233
"1797","294","B",2007-07-17 11:00:00,2,24,1233
"1798","627","LB",2007-07-17 15:39:00,2,34,1234
"1805","25","LB",2007-07-19 11:59:00,2,34,1238
"1807","373","LB",2007-07-21 07:24:00,2,24,1240
"1808","170","B",2007-07-21 13:05:00,2,44,1241
"1809","220","B",2007-07-21 13:05:00,2,34,1241
"1810","25","B",2007-07-22 11:00:00,2,34,1242
"1811","294","B",2007-07-22 11:00:00,2,24,1242
"1812","47","LB",2007-07-25 15:59:00,2,34,1243
"1813","218","LB",2007-07-25 16:13:00,2,44,1244
"1814","514","B",2007-07-26 08:59:00,2,24,1245
"1815","871","B",2007-07-26 08:59:00,2,24,1245
"1816","218","B",2007-07-26 15:23:00,2,44,1246
"1819","220","B",2007-08-03 16:10:00,2,34,1249
"1822","459","B",2007-08-04 16:57:00,2,44,1251
"1824","871","B",2007-08-05 16:56:00,2,24,1253
"1826","871","B",2007-08-06 12:43:00,2,24,1255
"1827","418","LB",2007-08-06 13:22:00,2,24,1256
"1828","759","LB",2007-08-08 11:00:00,2,34,1257
"1829","14","B",2007-08-09 12:01:00,2,24,1258
"1830","101","B",2007-08-09 12:01:00,2,24,1258
"1831","416","B",2007-08-09 12:01:00,2,44,1258
